"filename", "language", "JavaScript", "CSS", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\QuestionEdit.jsx", "JavaScript", 126, 0, 0, 0, 0, 0, 5, 14, 145
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\Questions.jsx", "JavaScript", 106, 0, 0, 0, 0, 0, 1, 13, 120
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\QuestionsAdd.jsx", "JavaScript", 227, 0, 0, 0, 0, 0, 7, 26, 260
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Reports\AdminReports.jsx", "JavaScript", 51, 0, 0, 0, 0, 0, 5, 11, 67
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Reports\ReportExamDetails.jsx", "JavaScript", 104, 0, 0, 0, 0, 0, 1, 12, 117
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Reports\ReportStudentDetails.jsx", "JavaScript", 116, 0, 0, 0, 0, 0, 1, 13, 130
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Timetable\AdminTimetable.jsx", "JavaScript", 236, 0, 0, 0, 0, 0, 13, 31, 280
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Timetable\SubjectAdd.jsx", "JavaScript", 121, 0, 0, 0, 0, 0, 4, 11, 136
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Timetable\SubjectItem.jsx", "JavaScript", 134, 0, 0, 0, 0, 0, 3, 21, 158
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Timetable\SubjectUpdate.jsx", "JavaScript", 51, 0, 0, 0, 0, 0, 1, 9, 61
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Timetable\Timetable.css", "CSS", 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\UserAccounts.jsx", "JavaScript", 177, 0, 0, 0, 0, 0, 1, 20, 198
"c:\Dev\gateway-web-app\Client\src\comps\DashboardHeader\Header.css", "CSS", 0, 120, 0, 0, 0, 0, 12, 17, 149
"c:\Dev\gateway-web-app\Client\src\comps\DashboardHeader\Header.jsx", "JavaScript", 91, 0, 0, 0, 0, 0, 4, 8, 103
"c:\Dev\gateway-web-app\Client\src\comps\DashboardTeacher\AttendanceRecord\AttendanceAdd.jsx", "JavaScript", 160, 0, 0, 0, 0, 0, 9, 23, 192
"c:\Dev\gateway-web-app\Client\src\comps\DashboardTeacher\AttendanceRecord\AttendanceDaily.jsx", "JavaScript", 81, 0, 0, 0, 0, 0, 1, 9, 91
"c:\Dev\gateway-web-app\Client\src\comps\DashboardTeacher\AttendanceRecord\StudentDailyAttendance.jsx", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 9, 87
"c:\Dev\gateway-web-app\Client\src\comps\DashboardTeacher\AttendanceRecord\TeacherAttendance.jsx", "JavaScript", 196, 0, 0, 0, 0, 0, 1, 20, 217
"c:\Dev\gateway-web-app\Client\src\comps\DashboardTeacher\TeacherProfile.jsx", "JavaScript", 194, 0, 0, 0, 0, 0, 6, 22, 222
"c:\Dev\gateway-web-app\Client\src\comps\DashboardTeacher\TeacherTimetable.jsx", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 10, 94
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Attendance.jsx", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 15, 112
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\DashboardData.js", "JavaScript", 194, 0, 0, 0, 0, 0, 1, 10, 205
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\DashboardHome.css", "CSS", 0, 39, 0, 0, 0, 0, 0, 4, 43
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\DashboardHome.jsx", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\DashboardLayout.css", "CSS", 0, 24, 0, 0, 0, 0, 3, 5, 32
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\DashboardLayout.jsx", "JavaScript", 46, 0, 0, 0, 0, 0, 24, 13, 83
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\Exams.jsx", "JavaScript", 64, 0, 0, 0, 0, 0, 1, 10, 75
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\StudentExamDetails.jsx", "JavaScript", 82, 0, 0, 0, 0, 0, 3, 12, 97
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam.jsx", "JavaScript", 182, 0, 0, 0, 0, 0, 9, 23, 214
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Error.jsx", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\FinishScreen.jsx", "JavaScript", 51, 0, 0, 0, 0, 0, 2, 9, 62
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Footer.jsx", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Header.jsx", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Main.jsx", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\NextButton.jsx", "JavaScript", 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Options.jsx", "JavaScript", 30, 0, 0, 0, 0, 0, 1, 3, 34
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Progress.jsx", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 3, 27
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Question.jsx", "JavaScript", 14, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\StartScreen.jsx", "JavaScript", 21, 0, 0, 0, 0, 0, 1, 2, 24
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Exams\TakeExam\Timer.jsx", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 6, 28
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Flashcards.jsx", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Reports.jsx", "JavaScript", 86, 0, 0, 0, 0, 0, 12, 11, 109
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\StudentProfile.jsx", "JavaScript", 180, 0, 0, 0, 0, 0, 4, 13, 197
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\StudentTimetable.jsx", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 10, 94
"c:\Dev\gateway-web-app\Client\src\comps\Navigation.jsx", "JavaScript", 177, 0, 0, 0, 0, 0, 4, 9, 190
"c:\Dev\gateway-web-app\Client\src\comps\NewsSection\NewsSection.css", "CSS", 0, 125, 0, 0, 0, 0, 7, 20, 152
"c:\Dev\gateway-web-app\Client\src\comps\NewsSection\NewsSection.jsx", "JavaScript", 112, 0, 0, 0, 0, 0, 6, 9, 127
"c:\Dev\gateway-web-app\Client\src\comps\PrivateRoute.jsx", "JavaScript", 13, 0, 0, 0, 0, 0, 4, 6, 23
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\ConfirmDetails.jsx", "JavaScript", 125, 0, 0, 0, 0, 0, 15, 17, 157
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\CourseForm.jsx", "JavaScript", 28, 0, 0, 0, 0, 0, 1, 5, 34
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\Modal.css", "CSS", 0, 60, 0, 0, 0, 0, 4, 7, 71
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\Modal.jsx", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 3, 14
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\ProfileInformation.jsx", "JavaScript", 251, 0, 0, 0, 0, 0, 9, 15, 275
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\ProgressIndicator.css", "CSS", 0, 50, 0, 0, 0, 0, 33, 8, 91
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\ProgressIndicator.jsx", "JavaScript", 38, 0, 0, 0, 0, 0, 6, 6, 50
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\RegistrationData.js", "JavaScript", 51, 0, 0, 0, 0, 0, 6, 9, 66
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\StudentProfile.jsx", "JavaScript", 35, 0, 0, 0, 0, 0, 1, 2, 38
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\TeacherProfile.jsx", "JavaScript", 22, 0, 0, 0, 0, 0, 1, 2, 25
"c:\Dev\gateway-web-app\Client\src\comps\RegistrationDetails\UserAccountInfo.jsx", "JavaScript", 101, 0, 0, 0, 0, 0, 4, 11, 116
"c:\Dev\gateway-web-app\Client\src\comps\Search.jsx", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Dev\gateway-web-app\Client\src\comps\SideNavigation\SideNav.css", "CSS", 0, 64, 0, 0, 0, 0, 9, 10, 83
"c:\Dev\gateway-web-app\Client\src\comps\SideNavigation\SideNav.jsx", "JavaScript", 22, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Dev\gateway-web-app\Client\src\comps\Utilities\Alert.css", "CSS", 0, 49, 0, 0, 0, 0, 2, 6, 57
"c:\Dev\gateway-web-app\Client\src\comps\Utilities\Alert.jsx", "JavaScript", 39, 0, 0, 0, 0, 0, 1, 9, 49
"c:\Dev\gateway-web-app\Client\src\comps\Utilities\ConfirmDelete.jsx", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Dev\gateway-web-app\Client\src\comps\Utilities\DateTimeDisplay.jsx", "JavaScript", 22, 0, 0, 0, 0, 0, 3, 8, 33
"c:\Dev\gateway-web-app\Client\src\index.css", "CSS", 0, 291, 0, 0, 0, 0, 25, 45, 361
"c:\Dev\gateway-web-app\Client\src\main.jsx", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Dev\gateway-web-app\Client\tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Dev\gateway-web-app\Client\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 8579, 1519, 2, 5, 5259, 13, 488, 1306, 17171
